,name,country,event,date_of_violation,substance,sanction,references,flagged
11669,Vasiliy Sokov, Russia,Triple jump,1995,Ephedrine,3 months,[779],1
11670,Natallia Solohub, Belarus,Sprinting,2001,Norandrosterone,2 years,[13][780],1
11671,Song Hongjuan, China,Race walking,2008,EPO,4 years,[3][781],1
11672,Song Liqing, China,Long distance,2001,,2 years,[554],1
11673,Anastasiya Soprunova, Kazakhstan,Hurdling,2016,Stanozolol,4 years,[17][232],1
11674,Dmitriy Sorokin, Russia,Triple jump,2011,Carphedon,2 years,[10][154],1
11675,Javier Sotomayor, Cuba,High jump,19992001,Cocaine  Nandrolon,1 year (Reduced from 2 years),[82]  [13][782],1
11676,João Gabriel Sousa, Brazil,Pole vault,2009,"Exemestane, boldenone",2 years,[32][112][783],1
11677,Wallace Spearmon, United States,Sprinting,2014,Methylprednisolone,3 months,[493][784],1
11678,Lansford Spence, Jamaica,Sprinting,2009,Methylhexanamine,3 months,[37][63],1
11679,Tânia Spindler, Brazil,Race walking,2012,Isometheptene,Public reprimand,[219][785],1
11680,Gundega Sproģe, Latvia,Triple jump,1999,Anabolic steroid,2 years,[786] (in Latvian),1
11681,Vania Stambolova, Bulgaria,Hurdling,2007,Testosterone,2 years,[3][787][788][789],1
11682,Michalis Stamatogiannis, Greece,Shot put,2014,Stanozolol,2 years,[448][449],1
11683,Claudia Ștef (Claudia Iovan), Romania,Race walking,2000,Nandrolone,2 years,[790],1
11684,Ato Stephens, Trinidad and Tobago,Sprinting,2009,"Oxandrolone, Stanozolol and Tamoxifen",2 years,[37][371][791],1
11685,Ray Stewart, Jamaica,Coach,2010,Trafficking and administering of prohibited substances,Life ban,[492],1
11686,Elena Stoyanova, Bulgaria,Shot put,1978,Anabolic steroids,18 months,[412],1
11687,Mike Stulce, United States,Shot put,19901993,TestosteroneMestanolone,2 yearsLife ban,[13][792][793],1
11688,Sui Xinmei, China,Shot put,1991,Steroids,2 years,[1][794],1
11689,Sun Yingjie, China,Long distance,2005,Androsterone,2 years,[271],1
11690,Lars Sundin, Sweden,Discus throw,1987,Testosterone,18 months,[795] (in Swedish),1
11691,Göran Svensson, Sweden,Discus throw,1987,Testosterone,18 months,[795] (in Swedish),1
11692,Art Swarts, United States,Discus throw,1986,Testosterone,banned,[1][796],1
11693,Luketz Swartbooi, Namibia,Long distance,2005,"Prednisolone, prednisone",Public warning,[66][797],1
11694,Olesya Syreva, Russia,Middle distance,20112015,Biological passportMetenolone,2 years8 years,[13][359][505][798][232][772],1
11695,Attila Szabó, Hungary,Decathlon,2013,3 whereabouts failures,1 year,[439],1
11696,Gina Coello Tache, Honduras,Marathon,2001,Nandrolone,2 years,[216],1
11697,Gregg Tafralis, United States,Shot put,19951999,Methandienone,2 years (Reduced from 4 years)Life ban,[184][799],1
11698,Teddy Tamgho, France,Triple jump,2014,3 whereabouts failures,1 year,[175],1
11699,William Tanui, Kenya,Middle distance,1993,Ephedrine,,[645],1
11700,Yoel Tapia, Dominican Republic,Sprinting,2012,Methylhexaneamine,6 months,[79][219],1
11701,Kory Tarpenning, United States,Pole vault,1997,Anabolic steroids,2 years,[184][800],1
11702,Angella Taylor-Issajenko, Canada,Sprinting,1979–1988,"Self admittance of steroid use (Dubin inquiry): metandienone, oxandrolone, metenolone enanthate, nandrolone, human growth hormone, L-dopa, testosterone, Inosine, Furazabol",Loss of national and world records,[2][318][801][802][803][804][13],1
11703,Gladys Tejeda, Peru,Long distance,2015,Furosemide,6 months,[353][462],1
11704,Lucimar Teodoro, Brazil,Hurdling,2009,Fenproporex,2 years,[36][37][805],1
11705,Olga Tereshkova, Kazakhstan,400 metres,20112014,TestosteroneMethyltestosterone,2 yearsLife ban,[86][354][466][806],1
11706,Ana Mirela Ţermure, Romania,Javelin throw,2001,Norandrosterone,2 years,[13][780][807][808],1
11707,Ekaterini Thanou, Greece,Sprinting,2004,Missed tests,2 years,[98][501],1
11708,James Kibocha Theuri, France,Long distance,2014,Whereabouts failures,1 year,[329],1
11709,Cheryl Thibedeau, Canada,Sprinting,1987  1992,Self admittance of steroid use (Dubin inquiry),2 years  Life ban,[809],1
11710,Tsholofelo Thipe, South Africa,Sprinting,2012,"Norandrosterone, testosterone",2 years,[6][87],1
11711,Eric Thomas, United States,Hurdling,2003,Modafinil,Disqualification and public warning,[321],1
11712,Susen Tiedtke, Germany,Long jump,1995,Turinabol,2 years,[810][811][812],1
11713,Khalid Tighazouine, Morocco,Middle distance,2004,Nandrolone,2 years,[98][813][814],1
11714,Ville Tiisanoja, Finland,Shot put,2006,Testosterone,2 years,[815],1
11715,Irina Timofeyeva, Russia,Marathon,2009,Bilogical passport,2 years,[94][95],1
11716,Josiane Tito, Brazil,Sprinting/Middle distance,2009,EPO,2 years,[36][37][131],1
11717,Mamorallo Tjoka, Lesotho,Long distance,2014,"Norandrosterone, Clenbuterol, Methylhexaneamine, Ephedrine and Prednisolone",2 years,[56][353],1
11718,Nadiya Tkachenko, Soviet Union,Pentathlon,1978,Anabolic steroids,18 months,[412],1
11719,Nataliya Tobias, Ukraine,Middle distance,2011,Testosterone,2 years,[13][153][816][817],1
11720,Ambesse Tolosa, Ethiopia,Long distance,2008,Morphine,2 years,[3][818],1
11721,Tatyana Tomashova, Russia,Middle distance,2007,Fraudulent substitution of urine,33 months,[33][37][238][239],1
11722,Dragutin Topić, Serbia and Montenegro,High jump,2001,Nandrolone,2 years,[819],1
11723,Kevin Toth, United States,Shot put,2003,THG,2 years,[13][236][321],1
11724,Laïla Traby, France,Long distance,2014,EPO and refusal,3 years,[56][353][820],1
11725,Silvana Trampuz, Australia,Long distance,2001,Nandrolone,2 years,[115][821],1
11726,Marina Trandenkova, Russia,Sprinting,1996,Bromantane,Reprimand,[288][289],1
11727,Alex Trembach, Israel,Sprinting,2008,Norandrosterone,2 years,[36][37],1
11728,Ivan Tsikhan, Belarus,Hammer throw,2004 (Sample retested 2012),Methandienone,2 years,[13][47][171][401],1
11729,Maria Tsirba, Greece,Middle distance,2003,"EPO, Ephedrine",2 years,[45][182][822],1
11730,Athanasia Tsoumeleka, Greece,Race walking,2008,CERA,2 years,[37][823][824],1
11731,Lyubov Tsyoma (Lyubov Kiryukhina-Tsyoma), Russia,Middle distance,1997,Stanozolol,2 years,[13][825][826],1
11732,Markku Tuokko, Finland,Shot put/Discus throw,1977,Anabolic steroid,1 year,[827][828],1
11733,Erik Tysse, Norway,Race walking,2010,CERA,2 years,[10][83][829],1
11734,Romas Ubartas, Lithuania,Discus throw,19932002,Boldenone Boldenone,4 years,[13][830][831],1
11735,Giampaolo Urlando, Italy,Hammer throw,1984,Testosterone,,[428],1
11736,Sergiu Ursu, Romania,Discus throw,20042013,NandroloneNorandrosterone,2 years  2 years,[354][832],1
11737,Binnaz Uslu, Turkey,Running,20072011 (sample re-analysed 2013),TestosteroneStanozolol,2 years Life ban,[833][13][69][354],1
11738,Roman Usov, Russia,Steeplechase,2008,Carphedon,2 years,[3][834],1
11739,Jaanus Uudmäe, Estonia,Triple/long jump,2007,Sibutramine,Public warning,[835],1
11740,Martti Vainio, Finland,Long distance,1984  1983–1984,"Positive test: Metenolone  Self admittance: Blood transfusions, Testosterone",18 months (Reduced from life ban),[31][836],1
11741,Euclides Varela, Cape Verde,Long distance,2012,3 whereabouts failures,18 months,[439],1
11742,Roland Varga, Hungary,Discus throw,2006,Boldenone,2 years,[19][837],1
11743,Andrei Varantsou, Belarus,Hammer throw,2005 (Sample retested 2012) January 2013  October 2013,"Clomiphene, OxandroloneOral TurinabolOral Turinabol",4 years  Life ban,[13][14][28][34][292][838],1
11744,Sebastian Varga, Romania,,20062009,StanozololMetabolites of metandienone,2 years8 years,[19][69],1
11745,Aleksandr Vashchilo, Belarus,Hammer throw,2005,Cannabis,Public warning,[19][675],1
11746,Cristina Vasiloiu, Romania,Middle distance,2008,EPO,,[75],1
11747,Nikolai Vedehin, Estonia,Middle distance,2015,Trimetazidine,4 years,[69][198][650],1
11748,Velko Velev, Bulgaria,Hammer throw,1975,Anabolic steroids,,[1][839],1
11749,Michael Velter, Belgium,Triple jump,20062011,CannabisCannabis,3 months21 months,[10][840],1
11750,Venelina Veneva, Bulgaria,High jump,2007,Testosterone,2 years,[3][841],1
11751,Oksana Verner, Kazakhstan,Middle distance,2010,Stanozolol,2 years,[414][739],1
11752,Anna Verouli, Greece,Javelin throw,1984,Nandrolone,,[1][836][842],1
11753,Ioan Vieru, Romania,Sprinting,2004,Stanozolol,2 years,[45][446][843][844],1
11754,Saurav Vij, India,Shot put,2010,Methylhexaneamine,2 years,[359][845],1
11755,Igor Vinichenko, Russia,Hammer throw,2013,Dehydrochloromethyltestosterone,2 years,[207][359],1
11756,Roman Virastyuk, Ukraine,Shot put,1991,,,[407] (in Swedish),1
11757,Innis Viviers, South Africa,Sprinting,2003  2005,Stanozolol  Stanozolol,2 years  Life ban,[66][79][360],1
11758,Aleksey Voyevodin, Russia,Race walking,2008,EPO,2 years,[3][19][846],1
11759,Nadezhda Vorobieva, Russia,Middle distance,2004,Pemoline,2 years,[98],1
11760,Letitia Vriesde, Suriname,Middle distance,2003,Caffeine,Public warning,[321][347],1
11761,Yevhen Vynohradov, Ukraine,Hammer throw,2009,Nandrolone,2 years,[36][37],1
11762,Larry Wade, United States,Hurdling,2004,19-Norandrosterone,2 years,[98][262],1
11763,Alwin Wagner, West Germany,Discus throw,1977–1987,Self admittance: Steroids,—,[1][847][848],1
11764,Erick Walder, United States,Long jump,2004,"Amphetamine, Methamphetamine",2 years,[262],1
11765,Aleksander Waleriańczyk, Poland,High jump,2003,Caffeine,Public warning,[286],1
11766,Douglas Walker, Great Britain/ Scotland,Sprinting,1998,Nandrolone,2 years,[205],1
11767,Delisa Walton-Floyd, United States,Middle distance,1991,Amphetamine,4 years,[13][775][849],1
11768,Wang Jiali, China,Marathon,2012,Biological passport,2 years,[119][439],1
11769,Wang Jing, China,Sprinting,2009,Epitestosterone,4 years,[32][79][850],1
11770,Wang Lina, China,Long jump,2005,Norandrosterone,2 years,[66],1
11771,Wang Shizhu, China,Hammer throw,2013,,Public reprimand,[47],1
11772,Gareth Warburton, United Kingdom,Middle distance,2014,"17α-methyl-5 β-androstane-3α,17β-diol",6 months,[101][851],1
11773,Solomon Wariso, Great Britain/ England,Sprinting,1994,Ephedrine,3 months,[852],1
11774,Wei Yanan, China,Long distance,2002,,2 years,[853],1
11775,Renward Wells, Bahamas,Sprinting,2002,,2 years,[854],1
11776,Joan Wenzel, Canada,Middle distance,1975,Ephedrine,,[1][855][856],1
11777,Kelli White, United States,Sprinting,20032000–2003,"Positive test: Modafinil BALCO scandal/Admission: THG, EPO",2 years,[13][857][858],1
11778,Janine Whitlock, Great Britain,Pole vault,2002,Methandienone,2 years,[859],1
11779,Bobby-Gaye Wilkins, Jamaica,Sprinting,2010,Andarine (SARMs),2 years,[32][45][112][860],1
11780,Bernard Williams, United States,Sprinting,2004,Cannabis,Public warning,[98][861],1
11781,Christopher Williams, Jamaica,Sprinting,2009,Amphetamine and levmetamphetamine,2 years,[32][862],1
11782,Desai Williams, Canada,Sprinting,1980s,Self admittance of steroid use (Dubin inquiry),,[1][592][863],1
11783,Diane Williams, United States,Sprinting,,Self admittance: Anabolic steroids,—,[864],1
11784,Ivory Williams, United States,Sprinting,2010,Cannabis,3 months,[865],1
11785,Rhys Williams, United Kingdom,Hurdling,2014,"17β-hydroxyestra-4,9-diene-3-one",4 months,[101][851],1
11786,Tameka Williams, Saint Kitts and Nevis,Sprinting,2012,Possession and use or attempted use of prohibited substance or method,3 years,[87][119][866],1
11787,Solange Witteveen, Argentina,High jump,2001,Pemoline,2 years,[867],1
11788,Anna Włodarczyk, Poland,Long jump,1982,,,[1][2],1
11789,Nunu Abashidze, Soviet Union,Shot put,1981,,,[1][2],1
11790,Ahmed Abd El Raouf, Egypt,Hammer throw,2008,Norandrosterone,2 years,[3][4],1
11791,Inga Abitova, Russia,Long distance,2009,Biological passport anomalies,2 years,[5][6][7],1
11792,Folashade Abugan, Nigeria,Sprinting,2010,Testosterone prohormone,2 years,[8][9][10],1
11793,Ibrahim Mohamed Aden, Somalia,Middle distance,1999,Ephedrine,Public warning,[11][12][13],1
11794,Tosin Adeloye, Nigeria,Sprinting,20122015,Metenolone  Exogenous steroids,2 years  8 years,[14][15][16][17],1
11795,Funke Adeoye, Nigeria,Hammer throw,2007,Ephedrine,Public warning,[3][18][19][20],1
11796,Alessandra Aguilar, Spain,Long distance,2011,,3 months,[21],1
11797,Amina Aït Hammou, Morocco,Middle distance,2008,3 whereabouts failures,1 year,[3][22],1
11798,Seltana Aït Hammou, Morocco,Middle distance,2008,3 whereabouts failures,1 year,[3][23],1
11799,Chioma Ajunwa, Nigeria,"Long jump, sprinting",1992,,4 years,[24][25],1
11800,Esther Akinsulie, Canada,Sprinting,2013,Hydrochlorothiazide,6 months,[26][27][28],1
11801,Ashwini Akkunji, India,Sprinting,2011,Anabolic steroids,2 years,[29],1
11802,Mary Akor Basley, United States,Marathon,2012,Clenbuterol,2 years,[14][30],1
11803,Mikko Ala-Leppilampi, Finland,Long distance,1972,Self admittance of blood transfusions  (not illegal at the time),—,[31],1
11804,Mariem Alaoui Selsouli, Morocco,Middle distance,2009 2012,EPOFurosemide,2 years  8 years,[13][32][33][34][35],1
11805,Sultan Al-Dawoodi, Saudi Arabia,Discus throw,2009,Norandrosterone,2 years,[36][37],1
11806,Denis Alekseyev, Russia,Sprinting,2013,Dehydrochloromethyltestosterone,2 years,[38][39],1
11807,Barakat Al-Harthi, Oman,Sprinting,2011,Methylprednisolone,6 months,[40][41],1
11808,Ghfran Almouhamad, Syria,Hurdling,2012,Methylhexaneamine,6 months,[7][42],1
11809,Anna Alminova, Russia,Middle distance,2010  2009,Pseudoephedrine  Biological passport anomalies,3 months  30 months,[32][43][13][44][45],1
11810,Anthony Alozie, Australia,Sprinting,2013,Three Whereabouts Failures,20 months,[30][46][47],1
11811,Aslı Çakır Alptekin, Turkey,Middle distance/steeplechase,2004  2010,Metenolone  Biological passport,2 years  8 years,[48][49][50][51][52][53][54],1
11812,Chinaza Amadi, Niger,Long jump,2015,Metenolone,4 years,[55][56],1
11813,Gloria Amuche Nwosu, Nigeria,Sprinting,2005,Testosterone,2 years,[57],1
11814,Anis Ananenka, Belarus,Middle distance,2015,GW1516,4 years,[58][59],1
11815,Andreas Anastasopoulos, Greece,Shot put,2001,,2 years,[60],1
11816,Georg Andersen, Norway,Shot put,1991,Metenolone,21 months,[13][61][62],1
11817,Marvin Anderson, Jamaica,Sprinting,2009,4-Methyl-2-hexanamine,3 months,[37][63],1
11818,Lyudmila Andonova, Bulgaria,High jump,1985,Amphetamine,18 months,[1][2][64],1
11819,Yeorgios Andreou, Cyprus,Decathlon,2003,,2 years,[65],1
11820,Vladimir Andreyev, Russia,Race walking,2005,Salbutamol,1 year,[66][67],1
11821,Yuriy Andronov, Russia,Race walking,2014,Trimetazidine,2 years,[34][68],1
11822,Ivanildo dos Anjos, Brazil,Long distance,2014,Hydrochlorothiazide,18 months,[69][70][71],1
11823,Adrián Annus, Hungary,Hammer throw,2004,"Missed test, tampering",2 years,[72][73],1
11824,Seema Antil, India,Discus throw,2000,Pseudoephedrine,Public warning,[74],1
11825,Elena Antoci, Romania,Middle distance,2008,EPO,,[75],1
11826,Olena Antonova, Ukraine,Discus throw,2009 (Retested 2013),Stanozolol,2 years,[13][30][76],1
11827,Esref Apak, Turkey,Hammer throw,2013,Stanozolol,2 years,[14][30][77],1
11828,Thozama April, South Africa,Long distance,2014,"Phentermine, Prednisolone, Norandrosterone",2 years,[69][70][78],1
11829,Demetra Arachoviti, Greece,Hurdling,2012,Stanozolol,2 years,[79][80],1
11830,Geisa Arcanjo, Brazil,Shot put,2010,Hydrochlorothiazide,Public warning,[81],1
11831,Juana Arrendel, Dominican Republic,High jump,1999,Stanozolol,,[82],1
11832,Katsiaryna Artsiukh, Kazakhstan,Hurdling,2010,Metenolone,2 years,[32][83],1
11833,Natalya Artyomova, Russia,Middle distance,,Steroids,,[84],1
11834,Tatiana Aryasova, Russia,Long distance,2012,Hydroxyethylstarch,2 years,[79][85][86],1
11835,Elena Arzhakova, Russia,Middle distance,2011,Biological passport violation,2 years,[79][87],1
11836,Malika Asahssah, Morocco,Long distance,2015,Stanozolol,4 years,[17][88],1
11837,Delilah Asiago, Kenya,Long distance,1999,,,[89],1
11838,Innocent Asonze, Nigeria,Sprinting,1999,,,[13][89],1
11839,Wayne Athorne, Australia,Decathlon,,Methandienone (Dianabol),,[90],1
11840,Duncan Atwood, United States,Javelin throw,1985,Stimulant,Life ban (later reduced),[2][91],1
11841,Olutoyin Augustus  (Toyin Augustus), Nigeria,Hurdles,2009,Abnormal testosterone levels,2 years,[13][92],1
11842,Anna Avdeyeva, Russia,Shot put,2013,Oral Turinabol (anabolic steroid),2 years,[76][93],1
11843,Roman Avramenko, Ukraine,Javelin throw,20132015,DehydrochloromethyltestosteroneDehydrochloromethyltestosterone,2 years8 years,[13][30][76]  [94][95],1
11844,Hussein Awada, Lebanon,Cross country running  Half marathon,2012,Nandrolone,2 years,[28][30],1
11845,Mark Anthony Awere, Ghana,Long jump,2001,,3 months,[96],1
11846,Bimbo Miel Ayedou, Benin,Sprinting,2012,Nandrolone,2 years,[40][97],1
11847,Süreyya Ayhan, Turkey,Middle distance,20042007,"Interfering with testStanozolol, Methandienone",2 yearsLife ban,[98][36][37][99],1
11848,Masoud Azizi, Afghanistan,Sprinting,2013,Nandrolone,2 years,[13][14][30],1
11849,Ahmed Baday, Morocco,Long distance,2010,Biological passport anomalies,2 years,[13][100][101],1
11850,Ndiss Kaba Badji, Senegal,"Long jump, triple jump",2005,Androstenedione,2 years,[66],1
11851,Oleksandr Bagach, Soviet Union Ukraine,Shot put,1989  1997,Steroids  Ephedrine,2 years  Public warning and disqualification,[102][103] (in German)[13][104][105][106],1
11852,José Alessandro Bagio, Brazil,Race walking,2010,19-Norandrosterone,2 years,[10][107],1
11853,Amina Bakhit, Sudan,Middle distance,2009,Norandrosterone,2 years,[36][37],1
11854,Sergey Bakulin, Russia,Race walking,2011,Biological passport anomalies,3 years and 2 months,[108][109],1
11855,Živilė Balčiūnaitė, Lithuania,Long distance,2010,Testosterone,2 years,[110][111],1
11856,Michal Balner, Czech Republic,Pole vault,2010,Cannabis,1 month,[32],1
11857,Onalenna Baloyi, Botswana,Middle distance,2010,Methylhexanamine,2 years,[32][112],1
11858,Yuliya Balykina, Belarus,Sprinting,2013,Drostanolone,2 years,[30][113],1
11859,Falk Balzer, Germany,Hurdling,2001,Nandrolone,2 years,[114][115],1
11860,Konstadinos Baniotis, Greece,High jump,2013,Furosemide,Public warning,[116][117],1
11861,Jarrod Bannister, Australia,Javelin throw,2012,Three Whereabouts Failures within an 18-month period,20 months,[76][118][119],1
11862,Kelly-Ann Baptiste, Trinidad and Tobago,Sprinting,,,2 years,[120][121],1
11863,Shawnacy Barber, Canada,Pole vault,2016,Cocaine,Public warning,[122][123],1
11864,Roberto Barbi, Italy,Marathon,1996  20012008,"Ephedrine EPO EPO, Ephedrine","3 months  4 years, reduced to 25 months  Life ban",[13][37][79][124][125][126],1
11865,Roxana Bârcă, Romania,Long distance running,2013,Methasterone,2 years,[34][113],1
11866,Randy Barnes, United States,Shot put,1990 1998,Methyltestosterone Androstenedione,27 months  Life ban,[127][128][129],1
11867,Yarelys Barrios, Cuba,Discus throw,2008,Acetazolamide,,[130],1
11868,Bruno de Barros, Brazil,Sprinting,2009,EPO,2 years,[36][37][131],1
11869,Elias Bastos, Brazil,Cross country running,2014,Methyltestosterone,2 years,[69][70][132],1
11870,Giuliano Battocletti, Italy,Long distance running,1999,Nandrolone,16 months,[133],1
11871,Dieter Baumann, Germany,Long distance,1999,Nandrolone,2 years,[134],1
11872,Julie Baumann, Canada,Hurdling,1989,Stanozolol,2 years,[1][135],1
11873,Vadim Bavikin, Israel,Javelin throw,1994,Steroids,4 years,[136],1
11874,Chantal Beaugeant, France,Heptathlon,1989,,2 years,[1][137][138][139],1
11875,James Beckford, Jamaica,Long jump,1997,Ephedrine,3 months,[140],1
11876,Violeta Beclea, Romania,Middle distance,1995,Steroids,4 years,[45][141],1
11877,Chaltu Beji, Azerbaijan,Steeplechase,2015,Ostarine,4 years,[142][143][144],1
11878,Alemitu Bekele, Turkey,Long distance,2009,Biological passport anomalies,2 years and 9 months,[13][47][145],1
11879,Mimi Belete, Bahrain,Middle/Long distance,2010,Salbutamol,Public reprimand and disqualification,[32][146],1
11880,Irina Belova, Russia,Heptathlon,1993,Testosterone,4 years,[45][147][148],1
11881,Kenta Bell, United States,Triple jump,2007,Methylprednisolone,3 months,[149][150][151],1
11882,Awatef Ben Hassine, Tunisia,Sprinting,2004,Norandrosterone,2 years,[98],1
11883,Yassine Bensghir, Morocco,Middle distance,2014,Biological passport,4 years,[17][152],1
11884,Yahya Berrabah, Morocco,Long jump,20092011,CannabisEPO,Public warning4 years (2nd ADRV),[37][153][154],1
11885,Gwen Berry, United States,Hammer throw,2016,Use of a prohibited substance (Vilanterol Trifenatate),3 months,[88][155],1
11886,Michael Berry, United States,Sprinting,2010,Cannabis,3 months,[32][156][157][158],1
11887,Mariya Bespalova, Russia,Hammer throw,2015,Dehydrochloromethyltestosterone,4 years,[56][159],1
11888,María Cristina Betancourt, Cuba,Discus throw,1983,,Life ban,[2][160],1
11889,Kipyegon Bett, Kenya,800 m,2017,Erythropoietin out-of-competition test in November 2017,4 years,[161],1
11890,Antonella Bevilacqua, Italy,High jump,1996,"Ephedrine, pseudoephedrine",,[162],1
11891,Uwe Beyer, West Germany,Hammer throw,1960's/1970's,Anabolic steroids (self-admitted),—,[163] (in German)[164],1
11892,Alemayehu Bezabeh, Spain,Middle/Long distance,2010,Use of a prohibited method (Operation Galgo),2 years,[10][97][165],1
11893,Rajendra Bahadur Bhandari,   Nepal,Long distance,2006,Norandrosterone,2 years,[166],1
11894,Quentin Bigot, France,Hammer throw,2014,Methandienone and Stanozolol,2 years,[167][168][169],1
11895,Madina Biktagirova, Unified Team,Long distance,1992,Norephedrine,,[170],1
11896,Yuriy Bilonoh, Ukraine,Shot put,2004 (Sample retested 2012),Oxandrolone,3 years,[13][171][172][173],1
11897,Svetlana Biryukova, Russia,Long jump,2014,SARMs,2-year ban,[174][175],1
11898,Dominique Blake, Jamaica,Sprinting,2006 2012,EphedrineMethylhexanamine,9 months 4 years and 6 months (Reduced from 6 years),[76][176][119][177][178][179],1
11899,Yohan Blake, Jamaica,Sprinting,2009,4-Methyl-2-hexanamine,3 months,[37][63],1
11900,José Luis Blanco, Spain,Middle distance,2010,EPO,2 years,[180],1
11901,Zhanna Block, Ukraine,Sprinting,2002,BALCO scandal,2 years,[13][79][153],1
11902,Lyudmyla Blonska, Ukraine,"Heptathlon, long jump",20032008,Stanozolol Methyltestosterone,2 years  Life ban,[181][182][3][183],1
11903,Petr Bogatyrev, Russia,Race walking,2011,Biological passport anomalies,2 years,[47][145],1
11904,Ato Boldon, Trinidad and Tobago,Sprinting,2001,Ephedrine,Public warning,[74],1
11905,Scott Boothby, United States,Hammer throw,2006,"Finasteride, 6-oxo-androstenedione",4 years (Reduced from 8 years),[184][185][186],1
11906,Valeriy Borchin, Russia,Race walking,20052009,Ephedrine  Biological passport anomalies,1 year  8 years,[187][108][109],1
11907,Béranger-Aymard Bossé, Central African Republic,Sprinting,2016,Prednisolone,2 years,[16][17],1
11908,Mihaela Botezan, Romania,Long distance,2007,Chlortalidone,2 years,[3][188][189],1
11909,Chakir Boujattaoui, Morocco,Long-distance,2010,MIRCERA,2 years,[32][190],1
11910,Brahim Boulami, Morocco,Steeplechace,2002,EPO,2 years,[191],1
11911,Larbi Bouraada, Algeria,Decathlon,2012,Stanozolol,2 years,[30],1
11912,Abderrahime Bouramdane, Morocco,Marathon,2011,Biological passport,2 years,[142][143][192],1
11913,Zahra Bouras, Algeria,Middle-distance,2012,Stanozolol,2 years,[30],1
11914,Sofiya Bozhanova, Bulgaria,Long/Triple jump,1994,Amphetamine,4 years,[193],1
11915,Kevin Braunskill, United States,Sprinting,1994,Stanozolol,4 years,[194],1
11916,Grit Breuer, Germany,Sprinting,1992,Clenbuterol,2 years,[195],1
11917,Okkert Brits, South Africa,Pole vault,2003,Ephedrine,Public warning,[182][196],1
11918,Damien Broothaerts, Belgium,Hurdling,2011,"Methylhexanamine, 3 whereabouts failures",1 year (Reduced from 2 years),[10][197],1
11919,Alicia Brown, Canada,Sprinting,2013,Hydrochlorothiazide,2 years,[69][198][199],1
11920,Erik de Bruin, Netherlands,"Discus throw, shot put",1993,"Testosterone, Stanozolol, hCG",4 years,[200],1
11921,Ricky Bruch, Sweden,Discus throw,1960's/1970's,Anabolic steroids (self-admitted),—,[201] (in Swedish),1
11922,Yelyzaveta Bryzhina, Ukraine,Sprinting,2013,Drostanolone,2 years,[13][30][76],1
11923,Aleksandr Bulanov, Russia,Shot put,2009,Methandienone,2 years,[36][37],1
11924,Viktor Burayev, Russia,Race walking,2008,EPO,2 years,[3][202],1
11925,Tamara Bykova, Soviet Union,High jump,1990,Ephedrine,3 months,[203][204],1
11926,Yolanda Caballero, Colombia,Long distance,20112014,Biological passportTampering,4 years,[16][17],1
11927,Gary Cadogan, Great Britain,"Sprinting, hurdling",1998,Nandrolone,2 years,[205],1
11928,Dorina Calenic, Romania,Long distance,1987,,,[1][2][206],1
11929,Mehmet Çağlayan, Turkey,Long distance,2010,EPO,2 years,[32][112],1
11930,Jillian Camarena-Williams, United States,Shot put,2013,Clomiphene,6 months,[207][208],1
11931,John Capel, United States,Sprinting,2004  2006,CannabisCannabis,Public warning2 years,[209][210],1
11932,Dean Capobianco, Australia,Sprinting,1996,Stanazolol,2 years (Reduced from 4 years),[211],1
11933,Hector Carrasquillo, Puerto Rico,Sprinting,2011,Anabolic steroid,2 years,[10][212],1
11934,LaMark Carter, United States,Triple jump,2004,Salbutamol,Public warning,[186][213][214],1
11935,Silviu Casandra, Romania,Race walking,2002,,2 years,[215][216],1
11936,Arnaud Casquette, Mauritius,Long jump,2005,Cannabis,6 months,[66][217],1
11937,Víctor Castillo, Venezuela,Long jump,20062011,FurosemideMethylhexaneamine,2 years4 years,[218][21][34],1
11938,Recep Çelik, Turkey,Race walking,2012,Metenolone,2 years,[79][219],1
11939,Jolanda Čeplak, Slovenia,Middle distance,2007,EPO,2 years,[3][220][221],1
11940,Dwain Chambers, Great Britain,Sprinting,2003,"THG, Testosterone, EPO, HGH, Insulin, Modafinil & Liothyronine",2 years,[13][182][222][223],1
11941,Hafid Chani, Morocco,Long distance,2011,Biological passport,4 years,[69][70],1
11942,Jamel Chatbi, Morocco,Steeplechase,2009,Clenbuterol,3 years,[13][36][37][224],1
11943,Jani Chathurangani Silva, Sri Lanka,Sprinting,2006,Nandrolone,2 years,[3][36][225],1
11944,David Chaussinand, France,Hammer throw,23 May 2002  24 June 2002,Metenolone  Clenbuterol,3 years,[226],1
11945,Mouhcine Cheaouri, Morocco,Pole vault,2016,Stanozolol,4 years,[122][227],1
11946,Emily Chebet, Kenya,"Long distance, cross country",2015,Furosemide,4 years,[56][159][228][229],1
11947,Cristiana Checchi, Italy,Shot put,2003,Caffeine,Public warning,[230][231],1
11948,Viktor Chegin, Russia,Coach,,"Administration of a prohibited substance, complicity",Life ban,[17][232],1
11949,Abdelatif Chemlal, Morocco,Steeplechase,2004,Norandrosterone,2 years,[19][233][234],1
11950,Flomena Chepchirchir, Kenya,Marathon,2014,,6 months,[167],1
11951,Pamela Chepchumba, Kenya,Cross country running,2003,EPO,2 years,[230][235][236],1
11952,Susan Chepkemei, Kenya,Long distance,2007,Salbutamol,1 year,[3][18][237],1
